store_code,branch_name,display_name,address
001,동대문점,오늘은 오므라이스 동대문점,동대문구 서울시립대로3길6
002,마포점,오늘은 오므라이스 마포점,마포구 신촌로14길30 2층
003,신림점,오늘은 오므라이스 신림점,관악구 은천로 9 1층
004,연신내점,오늘은 오므라이스 연신내점,은평구 갈현로302-3 1층
005,진주점,오늘은 오므라이스 진주점,경남 진주시 진양호로532번길 10
006,강동점,오늘은 오므라이스 강동점,강동구 양재대로125길 42 지하1층
007,사하점,오늘은 오므라이스 사하점,부산시 사하구 하신번영로157번길 22
008,해운대점,오늘은 오므라이스 해운대점,부산시 해운대구 중동 794-11 1층 101일부호
009,중랑점,오늘은 오므라이스 중랑점,중랑구 면목로31길 22
010,안양점,오늘은 오므라이스 안양점,안양시 만안구 장내로139번길 52 3층 301호
011,금천점,오늘은 오므라이스 금천점,금천구 독산로 201-1 지하1층
012,수유점,오늘은 오므라이스 수유점,강북구 도봉로95길 51 1층
013,양정점,오늘은 오므라이스 양정점,부산진구 연수로4
014,광진점,오늘은 오므라이스 광진점,광진구 군자로35
015,부천점,오늘은 오므라이스 부천점,부천시 원미구 부흥로307번길31 108호
016,안산점,오늘은 오므라이스 안산점,안산시 상록구 본삼로38 B01호 일부108호
017,포항 북구 홍해점,오늘은 오므라이스 포항 북구 홍해점,포항시 북구 홍해읍 초곡지구로58번길 14
018,포항 북구점,오늘은 오므라이스 포항 북구점,포항시 북구 법원로115번길 5
019,포항 남구 오천점,오늘은 오므라이스 포항 남구 오천점,포항시 남구 오천읍 원동로131번길 7
020,강남점,오늘은 오므라이스 강남점,서울시 강남구 언주로 85길 32 지하1층 B102B호
021,송파점,오늘은 오므라이스 송파점,송파구 오금로29길 4-1
022,충북점,오늘은 오므라이스 충북점,청주시-서원구 1순환로 642 지하1층103호
023,하남점,오늘은 오므라이스 하남점,경기도 하남시 미사강변대로52 112호
024,순천점,오늘은 오므라이스 순천점,전라남도 순천시 남신월4길 9-24, 2층 2호
025,양산점 웅상점,오늘은 오므라이스 양산점 웅상점,경상남도 양산시 평산북2길 27
026,부산기장점,오늘은 오므라이스 부산기장점,부산광역시 기장군 정관읍 매학리 718-4, 122호
027,대전점,오늘은 오므라이스 대전점,대전광역시 대덕구 한남로38번길15 1층
028,세종점,오늘은 오므라이스 세종점,세종특별자치시 달빛로77 상가동 1층 102호
029,구리점,오늘은 오므라이스 구리점,경기도 구리시 검배로104 1층
030,세종 조치원점,오늘은 오므라이스 세종 조치원점,세종특별자치시 조치원읍 행복10길 11, 1층 B호
031,충남 공주점,오늘은 오므라이스 충남 공주점,충청남도 공주시 번영3로 52-3, 102호
032,영등포점,오늘은 오므라이스 영등포점,서울시 영등포구 도신로 143 1층
033,양산평산점,오늘은 오므라이스 양산평산점,경상남도 양산시 평산북2길 27
034,산본점,오늘은 오므라이스 산본점,경기도 군포시 금정동 764-63 1층
035,부산 강서점,오늘은 오므라이스 부산 강서점,부산광역시 강서구 명지오션시티8로 16번길 13
036,전남광양점,오늘은 오므라이스 전남광양점,전라남도 광양시 광양읍 인서중앙길 18
037,전남중마점,오늘은 오므라이스 전남중마점,전라남도 광양시 중마로 230 상가 204호
038,광주월계점,오늘은 오므라이스 광주월계점,광주광역시 광산구 첨단중앙로106번길 65-3, 1층 122호
039,대구서구점,오늘은 오므라이스 대구서구점,대구광역시 서구 서대구로 21길 12
040,천안점,오늘은 오므라이스 천안점,충청남도 천안시 동남구 원성25길 13-7 1층
041,대구율하점,오늘은 오므라이스 대구율하점,대구광역시 동구 율하동로19길 11
042,대구수성점,오늘은 오므라이스 대구수성점,대구광역시 수성구 들안로 48길 42
043,경남진해점,오늘은 오므라이스 경남진해점,경상남도 창원시 진해구 웅천동로106번길 19
044,성신여대점,오늘은 오므라이스 성신여대점,서울시 성북구 동소문로22길 19-2 1층
045,제주점,오늘은 오므라이스 제주점,제주특별자치도 제주시 한립읍 한림로 685-3
046,분당수내점,오늘은 오므라이스 분당수내점,경기도 성남시 분당구 내정로 165번길 38 602동2층 219-2호
047,천안쌍용점,오늘은 오므라이스 천안쌍용점,충청남도 천안시 서북구 쌍용16길 46 1층
048,수원인계점,오늘은 오므라이스 수원인계점,경기도 수원시 팔달구 경수대로507번길 14
049,부평점,오늘은 오므라이스 부평점,인천광역시 부평구 부평동 882-7
050,안산고잔점,오늘은 오므라이스 안산고잔점,경기도 안산시 단원구 광덕4로 144 a동 109호
051,경남김해점,오늘은 오므라이스 경남김해점,경상남도 김해시 경원로55번길 38 103호
052,부산대연점,오늘은 오므라이스 부산대연점,부산광역시 남구 유엔로157번가길 118 1층 101호
053,전남완도점,오늘은 오므라이스 전남완도점,전라남도 완도군 완도읍 해변공원로 150 상가동 1층 102호
054,경주안강점,오늘은 오므라이스 경주안강점,경상북도 경주시 안강읍 구부랑4길 14-10
055,경주황상점,오늘은 오므라이스 경주황상점,경상북도 경주시 원지길12번길 30-7
056,전남여수점,오늘은 오므라이스 전남여수점,전라남도 여수시 여서로 201 상가3동 7호
057,진해용원점,오늘은 오므라이스 진해용원점,경상남도 창원시 진해구 만금로 19 1층 107호
058,용인수지점,오늘은 오므라이스 용인수지점,경기도 용인시 수지구 성복동 33-5 1층 107호
059,아산배방점,오늘은 오므라이스 아산배방점,충청남도 아산시 배방읍 북수로 95-3
060,부산사직점,오늘은 오므라이스 부산사직점,부산광역시 동래구 여고북로123번길 5
061,화성봉담점,오늘은 오므라이스 화성봉담점,경기도 화성시 봉담읍 오래4길 4
062,강원원주점,오늘은 오므라이스 강원원주점,강원도 원주시 능라동길 35 101호
063,여주점,오늘은 오므라이스 여주점,경기도 여주시 여흥로 143-1
064,시흥점,오늘은 오므라이스 시흥점,경기도 시흥시 서울대학로264번길 50 b동 1층 111호
065,일산점,오늘은 오므라이스 일산점,경기도 고양시 일산동구 일산로428번길 38 1층
066,인천검단점,오늘은 오므라이스 인천검단점,인천광역시 서구 완정로 23 101호
067,서산점,오늘은 오므라이스 서산점,충청남도 서산시 대지제2로 5 1층
068,당진점,오늘은 오므라이스 당진점,충청남도 당진시 북문로 3-12 1층
069,익산점,오늘은 오므라이스 익산점,전라북도 익산시 익산대로22길 42 1층
070,칠곡점,오늘은 오므라이스 칠곡점,대구광역시 북구 칠곡중앙대로69길 19
071,대전서구점,오늘은 오므라이스 대전서구점,대전광역시 서구 갈마로147번길 35 1층
072,평택점,오늘은 오므라이스 평택점,경기도 평택시 비전9길 12-12 1층 105호
073,의정부점,오늘은 오므라이스 의정부점,경기도 의정부시 호국로 1340 미리온타워 1층
074,동탄점,오늘은 오므라이스 동탄점,경기도 화성시 동탄순환대로 823 1층
075,충주점,오늘은 오므라이스 충주점,충청북도 충주시 봉방9길 4
076,동두천점,오늘은 오므라이스 동두천점,경기도 동두천시 평화로 2379-1 1층
077,안성점,오늘은 오므라이스 안성점,경기도 안성시 장기로69번길 9-4
078,진해자은점,오늘은 오므라이스 진해자은점,경상남도 창원시 진해구 냉천남로 3-10 1층 109호
079,이천점,오늘은 오므라이스 이천점,경기도 이천시 남천로61 1층
080,경남사천점,오늘은 오므라이스 경남사천점,경상남도 사천시 사천읍 수양로 46 1층
081,인천가정점,오늘은 오므라이스 인천가정점,인천광역시 서구 새오개로111번안길 6 1층 103호
082,제주애월점,오늘은 오므라이스 제주애월점,제주특별자치도 제주시 애월읍 하귀미수포길 4
083,경북구미점,오늘은 오므라이스 경북구미점,경상북도 구미시 상사서로 158-1 1층
084,김포구래점,오늘은 오므라이스 김포구래점,경기도 김포시 김포한강9로75번길 56,1층 112호
085,천안성정점,오늘은 오므라이스 천안성정점,충청남도 천안시 서북구 서부6길 5 101호
086,광주서구점,오늘은 오므라이스 광주서구점,광주광역시 서구 운천로 162번길 27 1층 101호
087,경북영천점,오늘은 오므라이스 경북영천점,경상북도 영천시 상록8길 30(야사동)
088,화성병점점,오늘은 오므라이스 화성병점점,경기도 화성시 병점3로 19-29 1층 101호
089,오산점,오늘은 오므라이스 오산점,경기도 오산시 궐동로7번길 8 102호
090,안동점,오늘은 오므라이스 안동점,경상북도 안동시 태화중앙로 123 1층
091,영주점,오늘은 오므라이스 영주점,경상북도 영주시 중앙로63번길 17 102호
092,전주효자점,오늘은 오므라이스 전주효자점,전북특별자치도 전주시 완산구 신봉4길 12, 102호(효자동1가)
093,부산사상점,오늘은 오므라이스 부산사상점,부산광역시 사상구 사상로 471-1(모라동)
094,충북혁신도시,오늘은 오므라이스 충북혁신도시,충청북도 음성군 맹동면 대하1길 4 104호
095,대전유성점,오늘은 오므라이스 대전유성점,대전광역시 유성구 계룡로32번길 42, 1층(구암동)
096,남원점,오늘은 오므라이스 남원점,전북특별자치도 남원시 큰들4길 33-7
097,예산점,오늘은 오므라이스 예산점,충청남도 예산군 예산읍 역전로 122
098,옥천점,오늘은 오므라이스 옥천점,충청북도 옥천군 옥천읍 삼양로 96
099,나주점,오늘은 오므라이스 나주점,전라남도 나주시 재신길 6-10 1층
100,충북음성점,오늘은 오므라이스 충북음성점,충청북도 음성군 대소면 대금로 484,나동
